Favourite,State
Special K,Alabama
Shredded Wheat,Alaska
Rice Krispies,Arizona
Raisin Bran,Arkansas
Special K,California
Cinnamon Toast Crunch,Colorado
Cinnamon Toast Crunch,Connecticut
Vanilla Coconut,Delaware
Special K,Florida
Ancient Grains Cheerios,Georgia
Great Grains,Hawaii
Quaker Oatmeal Squares,Idaho
Special K,Illinois
All Bran,Indiana
Special K,Iowa
Rice Krispies,Kansas
Fiber One,Kentucky
Cocoa Crispies,Louisiana
Oreo O's,Maine
Fiber One,Maryland
Thin Mint Cereal,Massachusetts
Special K,Michigan
Cinnamon Toast Crunch,Minnesota
Thin Mint Cereal,Mississippi
Nature Valley,Missouri
Kashi,Montana
Captain Crunch,Nebraska
Cascade Farms,Nevada
Rice Krispies,New Hampshire
Ancient Grains Cheerios,New Jersey
Special K,New Mexico
Special K,New York
Fiber One,North Carolina
Oreo O's,North Dakota
Ancient Grains Cheerios,Ohio
Special K,Oklahoma
Honey Nut Cheerios,Oregon
Special K,Pennsylvania
Rice Krispies,Rhode Island
Special K,South Carolina
Cocoa Crispies,South Dakota
Cheerios,Tennessee
Special K,Texas
Special K,Utah
Special K,Vermont
Special K,Virginia
Maypo,Washington
Count Chocula,West Virginia
Fiber One,Wisconsin
Ancient Grains Cheerios,Wyoming
Special K,DC
